"id","name","tags"
"T_Aka_Regular_Shield_01","Akaviri Shield","Armor, Medium, Shield"
"T_Arg_Hist_Cuirass_01","Hist Cuirass","Armor, Medium, Cuirass"
"T_Arg_Hist_Cuirass_Freedom","Hist Cuirass of Freedom","Armor, Medium, Cuirass"
"T_Arg_Hist_Cuirass_Visitor","Hist Cuirass of the Visitor","Armor, Medium, Cuirass"
"T_Ayl_Saliache_Boots_01","Saliache Boots","Armor, Light, Boots"
"T_Ayl_Saliache_BracerL_01","Saliache Left Bracer","Armor, Light, Bracer, Left"
"T_Ayl_Saliache_BracerR_01","Saliache Right Bracer","Armor, Light, Bracer, Right"
"T_Ayl_Saliache_Cuirass_01","Saliache Cuirass","Armor, Light, Cuirass"
"T_Ayl_Saliache_Greaves_01","Saliache Greaves","Armor, Light, Greaves"
"T_Ayl_Saliache_Helm_01","Saliache Helm","Armor, Light, Helmet"
"T_Ayl_Saliache_PauldronL_01","Saliache Left Pauldron","Armor, Light, Pauldron, Left"
"T_Ayl_Saliache_PauldronR_01","Saliache Right Pauldron","Armor, Light, Pauldron, Right"
"T_Ayl_Saliache_Shield_01","Saliache Shield","Armor, Light, Shield"
"T_Bre_BjoulsaeFur_Helm_01","Bjoulsae Fur Helm","Armor, Light, Helmet, Fur"
"T_Bre_Ep_HatWizard_01","Expensive Wizard Hat","Armor, Light, Helmet"
"T_Bre_Ep_HatWizard_02","Expensive Wizard Hat","Armor, Light, Helmet"
"T_Bre_Mithril_Shield_01","Mithril Shield","Armor, Medium, Shield"
"T_Bre_TourneyHeater_Shield_FG","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_HDre","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_HHla","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_HInd","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_HRed","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_HTel","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_MAS","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_MG","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_TourneyHeater_Shield_OE","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_UNI_LordlyHeaterShield","Shield of the Lord Commander","Armor, Heavy, Shield, Unique"
"T_Bre_UNI_TricksterShield","Shield of the Trickster","Armor, Heavy, Shield, Unique"
"T_Bre_WoodenHeater_Shield_01","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_02","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_03","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_04","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_05","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_06","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_07","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_08","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_09","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_10","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_11","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_12","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_13","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_14","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_15","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_Gn","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Bre_WoodenHeater_Shield_Rose","Wooden Heater Shield","Armor, Heavy, Shield, Wood"
"T_Com_Adamant_Helm_01","Adamantium Helm","Armor, Medium, Helmet, Adamantium"
"T_Com_Adamant_Shield_01","Adamantium Shield","Armor, Medium, Shield, Adamantium"
"T_Com_Adamant_TowerShield_01","Adamantium Tower Shield","Armor, Medium, Shield, Adamantium"
"T_Com_Bound_Greaves_01","Bound Greaves","Armor, Light, Greaves"
"T_Com_Bound_PauldronL_01","Bound Left Pauldron","Armor, Light, Pauldron, Left"
"T_Com_Bound_PauldronR_01","Bound Right Pauldron","Armor, Light, Pauldron, Right"
"T_Com_Chain_Cuirass_01","Chain Cuirass","Armor, Medium, Cuirass, Chainmail"
"T_Com_Chain_Cuirass_02","Chain Cuirass","Armor, Medium, Cuirass, Chainmail"
"T_Com_Chain_Cuirass_03","Chain Cuirass","Armor, Medium, Cuirass, Chainmail"
"T_Com_Cm_Hat_01","Common Hat","Armor, Light, Helmet"
"T_Com_Cm_Hat_02","Common Hat","Armor, Light, Helmet"
"T_Com_Cm_Hat_03","Common Hat","Armor, Light, Helmet"
"T_Com_Cm_Hat_04","Common Hat","Armor, Light, Helmet"
"T_Com_Cm_Hat_05","Common Hat","Armor, Light, Helmet"
"T_Com_Cm_Hat_06","Common Hat","Armor, Light, Helmet"
"T_Com_Cm_Hat_Haggling","Hat of Haggling","Armor, Light, Helmet"
"T_Com_Cm_HatClothCoif_01","Common Cloth Coif","Armor, Light, Helmet"
"T_Com_Cm_HatClothCoif_02","Common Cloth Coif","Armor, Light, Helmet"
"T_Com_Eq_Hat_01","Exquisite Hat","Armor, Light, Helmet"
"T_Com_Et_Hat_01","Extravagant Hat","Armor, Light, Helmet"
"T_Com_Et_Hat_02","Extravagant Hat","Armor, Light, Helmet"
"T_Com_Et_Hat_03","Extravagant Hat","Armor, Light, Helmet"
"T_Com_Et_Hat_04","Extravagant Hat","Armor, Light, Helmet"
"T_Com_Et_Hat_05","Extravagant Hat","Armor, Light, Helmet"
"T_Com_Et_Hat_Foresight","Cap of Foresight","Armor, Light, Helmet"
"T_Com_Et_Hat_Imperious","Imperious Cap","Armor, Light, Helmet"
"T_Com_Et_HatClothCoif_01","Extravagant Cloth Coif","Armor, Light, Helmet"
"T_Com_FoolsHat_01","Fool's Hat","Armor, Light, Helmet"
"T_Com_FoolsHat_02","Fool's Hat","Armor, Light, Helmet"
"T_Com_Iron_Boots_01","Iron Boots","Armor, Heavy, Boots, Iron"
"T_Com_Iron_Boots_02","Iron Boots","Armor, Heavy, Boots, Iron"
"T_Com_Iron_BracerL_01","Iron Left Bracer","Armor, Heavy, Bracer, Left, Iron"
"T_Com_Iron_BracerL_02","Iron Left Bracer","Armor, Heavy, Bracer, Left, Iron"
"T_Com_Iron_BracerR_01","Iron Right Bracer","Armor, Heavy, Bracer, Right, Iron"
"T_Com_Iron_BracerR_02","Iron Right Bracer","Armor, Heavy, Bracer, Right, Iron"
"T_Com_Iron_Cuirass_01","Iron Cuirass","Armor, Heavy, Cuirass, Iron"
"T_Com_Iron_Cuirass_02","Iron Cuirass","Armor, Heavy, Cuirass, Iron"
"T_Com_Iron_Greaves_01","Iron Greaves","Armor, Heavy, Greaves, Iron"
"T_Com_Iron_Greaves_02","Iron Greaves","Armor, Heavy, Greaves, Iron"
"T_Com_Iron_Helm_01","Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_Iron_Helm_02","Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_Iron_Helm_03","Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_Iron_Helm_04","Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_Iron_Helm_Open","Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_Iron_Helm_Open_02","Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_Iron_PauldronL_01","Iron Left Pauldron","Armor, Heavy, Pauldron, Left, Iron"
"T_Com_Iron_PauldronL_02","Iron Left Pauldron","Armor, Heavy, Pauldron, Left, Iron"
"T_Com_Iron_PauldronR_01","Iron Right Pauldron","Armor, Heavy, Pauldron, Right, Iron"
"T_Com_Iron_PauldronR_02","Iron Right Pauldron","Armor, Heavy, Pauldron, Right, Iron"
"T_Com_IronSkull_PauldronL_01","Gruesome Iron Left Pauldron","Armor, Heavy, Pauldron, Left, Iron"
"T_Com_IronSkull_PauldronR_01","Gruesome Iron Right Pauldron","Armor, Heavy, Pauldron, Right, Iron"
"T_Com_IronSpike_Helm_01","Spiked Iron Helmet","Armor, Heavy, Helmet, Iron"
"T_Com_IronSpike_PauldronL_01","Spiked Iron Left Pauldron","Armor, Heavy, Pauldron, Left, Iron"
"T_Com_IronSpike_PauldronR_01","Spiked Iron Right Pauldron","Armor, Heavy, Pauldron, Right, Iron"
