"id","name","tags"
"T_Arg_UNI_SpearUlaqth","Spear of Warchief Ulaqth","Weapon, Spear, Two-Handed, Unique"
"T_Ayl_Arrow_01","Ayleid Arrow","Weapon, Ammunition, Arrow, Ayleid"
"T_Ayl_Regular_Dagger_01","Ayleid Sacrificial Dagger","Weapon, Short Blade, One-Handed, Dagger, Ayleid"
"T_Ayl_Regular_LongBlade_01","Ayleid Curved Long Blade","Weapon, Long Blade, One-Handed, Blade, Ayleid"
"T_Ayl_Regular_LongBow_01","Ayleid Longbow","Weapon, Marksman, Bow, Longbow, Ayleid"
"T_Ayl_Regular_ShortBlade_01","Ayleid Curved Short Blade","Weapon, Short Blade, One-Handed, Blade, Ayleid"
"T_Ayl_Regular_Spear_01","Ayleid Spear","Weapon, Spear, Two-Handed, Ayleid"
"T_Ayl_Regular_WarAxe_01","Ayleid War Axe","Weapon, Axe, One-Handed, War Axe, Ayleid"
"T_Ayl_UNI_Chillrend","Chillrend","Weapon, Short Blade, One-Handed, Unique"
"T_Ayl_UNI_Sinweaver","Sinweaver","Weapon, Long Blade, Two-Handed, Unique"
"T_Bre_Artisan_Broadsword_01","Wayrest Artisan Broadsword","Weapon, Long Blade, One-Handed, Broadsword"
"T_Bre_Artisan_Claymore_01","Wayrest Artisan Claymore","Weapon, Long Blade, Two-Handed, Claymore"
"T_Bre_Artisan_Dagger_01","Wayrest Artisan Dagger","Weapon, Short Blade, One-Handed, Dagger"
"T_Bre_Artisan_Longsword_01","Wayrest Artisan Longsword","Weapon, Long Blade, One-Handed, Longsword"
"T_Bre_Artisan_Shortsword_01","Wayrest Artisan Shortsword","Weapon, Short Blade, One-Handed, Shortsword"
"T_Bre_Barrow_Sword_01","Ancient Nedic Longsword","Weapon, Long Blade, One-Handed, Longsword"
"T_Bre_Fine_Dagger_01","Fine Betony Dagger","Weapon, Short Blade, One-Handed, Dagger"
"T_Bre_Mithril_Claymore_01","Mithril Claymore","Weapon, Long Blade, Two-Handed, Claymore"
"T_Bre_Mithril_Dagger_01","Mithril Dagger","Weapon, Short Blade, One-Handed, Dagger"
"T_Bre_Mithril_DaiKatana_01","Mithril Dai-Katana","Weapon, Long Blade, Two-Handed, Dai-katana"
"T_Bre_Mithril_Halberd_01","Mithril Halberd","Weapon, Spear, Two-Handed, Halberd"
"T_Bre_Mithril_Katana_01","Mithril Katana","Weapon, Long Blade, One-Handed, Katana"
"T_Bre_Mithril_Longsword_01","Mithril Longsword","Weapon, Long Blade, One-Handed, Longsword"
"T_Bre_Mithril_Mace_01","Mithril Mace","Weapon, Blunt, One-Handed, Mace"
"T_Bre_Mithril_Shordsword_01","Mithril Shortsword","Weapon, Short Blade, One-Handed, Shortsword"
"T_Bre_Mithril_Shortsword_01","Mithril Shortsword","Weapon, Short Blade, One-Handed, Shortsword"
"T_Bre_Mithril_Tanto_01","Mithril Tanto","Weapon, Short Blade, One-Handed, Tanto"
"T_Bre_Mithril_ThrowKnife_01","Mithril Throwing Knife","Weapon, Marksman, Thrown, Throwing Knife"
"T_Bre_Mithril_Wakizashi_01","Mithril Wakizashi","Weapon, Short Blade, One-Handed, Wakizashi"
"T_Bre_UNI_AzraMace","Azra's Mace","Weapon, Blunt, One-Handed, Mace, Unique"
"T_Bre_UNI_Ruvheidesword","Ruvheide Barrow Sword","Weapon, Long Blade, One-Handed, Sword, Unique"
"T_Bre_UNI_ShardOfVehemence","Shard of Vehemence","Weapon, Short Blade, One-Handed, Unique"
"T_Bre_UNI_Staff_Lich","Staff of the Lich","Weapon, Blunt, Two-Handed, Staff, Unique"
"T_Ce_Bronze_Gpesh_01","Bronze Claymore","Weapon, Long Blade, Two-Handed, Claymore, Bronze"
"T_Ce_Bronze_Kpesh_01","Bronze Longsword","Weapon, Long Blade, One-Handed, Longsword, Bronze"
"T_Com_Adamant_Arrow_01","Adamantium Arrow","Weapon, Ammunition, Arrow, Adamantium"
"T_Com_Adamant_Bolt_01","Adamantium Bolt","Weapon, Ammunition, Bolt, Adamantium"
"T_Com_Adamant_Bow_01","Adamantium Long Bow","Weapon, Marksman, Bow, Longbow, Adamantium"
"T_Com_Adamant_Broadsword_01","Adamantium Broadsword","Weapon, Long Blade, One-Handed, Broadsword, Adamantium"
"T_Com_Adamant_Club_01","Adamantium Club","Weapon, Blunt, One-Handed, Club, Adamantium"
"T_Com_Adamant_Crossbow_01","Adamantium Crossbow","Weapon, Marksman, Crossbow, Adamantium"
"T_Com_Adamant_Dagger_01","Adamantium Dagger","Weapon, Short Blade, One-Handed, Dagger, Adamantium"
"T_Com_Adamant_DaiKatana_01","Adamantium Dai-Katana","Weapon, Long Blade, Two-Handed, Dai-katana, Adamantium"
"T_Com_Adamant_Dart","Adamantium Dart","Weapon, Marksman, Thrown, Dart, Adamantium"
"T_Com_Adamant_DoubleAxe_01","Adamantium Battle Axe","Weapon, Axe, Two-Handed, Battle Axe, Adamantium"
"T_Com_Adamant_DoubleAxe_02","Adamantium Battle Axe","Weapon, Axe, Two-Handed, Battle Axe, Adamantium"
"T_Com_Adamant_Gisern","Adamantium Halberd","Weapon, Spear, Two-Handed, Halberd, Adamantium"
"T_Com_Adamant_Halberd_01","Adamantium Halberd","Weapon, Spear, Two-Handed, Halberd, Adamantium"
"T_Com_Adamant_Katana_01","Adamantium Katana","Weapon, Long Blade, One-Handed, Katana, Adamantium"
"T_Com_Adamant_Knife","Adamantium Throwing Knife","Weapon, Marksman, Thrown, Throwing Knife, Adamantium"
"T_Com_Adamant_Longsword_01","Adamantium Longsword","Weapon, Long Blade, One-Handed, Longsword, Adamantium"
"T_Com_Adamant_Saber_01","Adamantium Saber","Weapon, Long Blade, One-Handed, Saber, Adamantium"
"T_Com_Adamant_Scimitar_01","Adamantium Scimitar","Weapon, Long Blade, One-Handed, Scimitar, Adamantium"
"T_Com_Adamant_Staff_01","Adamantium Staff","Weapon, Blunt, Two-Handed, Staff, Adamantium"
"T_Com_Adamant_Star","Adamantium Throwing Star","Weapon, Marksman, Thrown, Throwing Star, Adamantium"
"T_Com_Adamant_Tanto_01","Adamantium Tanto","Weapon, Short Blade, One-Handed, Tanto, Adamantium"
"T_Com_Adamant_Wakizashi_01","Adamantium Wakizashi","Weapon, Short Blade, One-Handed, Wakizashi, Adamantium"
"T_Com_Adamant_WarAxe_01","Adamantium War Axe","Weapon, Axe, One-Handed, War Axe, Adamantium"
"T_Com_Adamant_Warhammer_01","Adamantium Warhammer","Weapon, Blunt, Two-Handed, Warhammer, Adamantium"
"T_Com_Bound_Greatsword_01","Bound Greatsword","Weapon, Long Blade, Two-Handed, Sword"
"T_Com_Bound_WarAxe_01","Bound War Axe","Weapon, Axe, One-Handed, War Axe"
"T_Com_Bound_Warhammer_01","Bound Warhammer","Weapon, Blunt, Two-Handed, Warhammer"
"T_Com_CruelFirestormArrow_01","Cruel Firestorm Arrow","Weapon, Ammunition, Arrow"
"T_Com_CruelFirestormBolt_01","Cruel Firestorm Bolt","Weapon, Ammunition, Bolt"
"T_Com_CruelFirestormDart_01","Cruel Firestorm Dart","Weapon, Marksman, Thrown, Dart"
"T_Com_CruelFirestormStar_01","Cruel Firestorm Star","Weapon, Marksman, Thrown, Throwing Star"
"T_Com_CruelFrostbloomArrow_01","Cruel Frostbloom Arrow","Weapon, Ammunition, Arrow"
"T_Com_CruelFrostbloomBolt_01","Cruel Frostbloom Bolt","Weapon, Ammunition, Bolt"
"T_Com_CruelFrostbloomDart_01","Cruel Frostbloom Dart","Weapon, Marksman, Thrown, Dart"
"T_Com_CruelFrostbloomStar_01","Cruel Frostbloom Star","Weapon, Marksman, Thrown, Throwing Star"
"T_Com_CruelPoisonbloomArrow_01","Cruel Poisonbloom Arrow","Weapon, Ammunition, Arrow"
"T_Com_CruelPoisonbloomBolt_01","Cruel Poisonbloom Bolt","Weapon, Ammunition, Bolt"
"T_Com_CruelPoisonbloomDart_01","Cruel Poisonbloom Dart","Weapon, Marksman, Thrown, Dart"
"T_Com_CruelPoisonbloomStar_01","Cruel Poisonbloom Star","Weapon, Marksman, Thrown, Throwing Star"
"T_Com_CruelShockbloomArrow_01","Cruel Shockbloom Arrow","Weapon, Ammunition, Arrow"
"T_Com_CruelShockbloomBolt_01","Cruel Shockbloom Bolt","Weapon, Ammunition, Bolt"
"T_Com_CruelShockbloomDart_01","Cruel Shockbloom Dart","Weapon, Marksman, Thrown, Dart"
"T_Com_CruelShockbloomStar_01","Cruel Shockbloom Star","Weapon, Marksman, Thrown, Throwing Star"
"T_Com_DaedSteel_Broadsword_01","Witch Steel Broadsword","Weapon, Long Blade, One-Handed, Broadsword, Steel"
